Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",85.950000,-107.190000,-90.000000,bottom
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",89.500000,-107.190000,-90.000000,bottom
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",93.050000,-107.190000,-90.000000,bottom
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",96.600000,-107.190000,-90.000000,bottom
"U1","MOUDLE-SEEEDUINO-XIAO","XIAO-Generic-Hybrid-14P-2.54-21X17.8MM",117.787985,-103.110500,90.000000,bottom
"SW1","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",84.120000,-98.420000,0.000000,top
"SW2","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",102.960000,-98.420000,0.000000,top
"SW3","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",84.120000,-117.420000,0.000000,top
"SW4","SW_Push_45deg","SW_Cherry_MX_1.00u_PCB",102.960000,-117.420000,0.000000,top
"SW6","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",111.500000,-120.000000,0.000000,top
"U2","ER_OLEDM0.91_1x-I2C","ER_OLEDM0.91_1x-I2C",91.275000,-92.035000,90.000000,top
